title,url,published_at,video_id
(All 3* levels completed!) Nightscape by 1GTommie [Normal],https://youtu.be/cdOGZpykbSw,2022-06-04T13:11:24Z,cdOGZpykbSw
Hate War Challenge Verified,https://youtu.be/H8alz0dBbIE,2022-05-22T05:55:28Z,H8alz0dBbIE
Deadly ClubStep easy by Player [Easy Demon],https://youtu.be/fnY4adpe-o4,2022-05-10T15:18:37Z,fnY4adpe-o4
Default Wave by bunch + 3 coins [Medium Demon],https://youtu.be/DW6Q29w9iI4,2022-04-26T15:11:24Z,DW6Q29w9iI4
Futurelocked by Optation [Easy Demon],https://youtu.be/Yr2khwviWnY,2022-04-24T06:47:03Z,Yr2khwviWnY
Bloodbath Crack's part on mobile!,https://youtu.be/PbFZZnGRUCU,2022-04-22T15:06:30Z,PbFZZnGRUCU
xStep Advance by TekhnikaRK [Easy Demon],https://youtu.be/nqXjHCwWgmA,2022-04-22T15:05:59Z,nqXjHCwWgmA
Intershock by RealZober [Easy Demon],https://youtu.be/NjSzXyGH6LY,2022-04-21T15:29:12Z,NjSzXyGH6LY
The Choice,https://youtu.be/F7wZQeN1oaU,2022-04-08T20:40:20Z,F7wZQeN1oaU
RAP Challenge #5,https://youtu.be/QDANvqopSio,2022-04-08T09:40:37Z,QDANvqopSio
Triple Flask by Experience D + 3 coins [Easy Demon],https://youtu.be/g8f0eZlZEsQ,2022-04-08T09:09:07Z,g8f0eZlZEsQ
ToE2 4x speed wave?,https://youtu.be/CQWW0wjKwPI,2022-04-05T16:32:32Z,CQWW0wjKwPI
(Worst 3* level) Super Mario Bros 2D by TaKaYaMa + 2 coins,https://youtu.be/jx2LiVVzvu4,2022-04-03T13:38:05Z,jx2LiVVzvu4
Anasthasia by alkali & distortt [Easy Demon],https://youtu.be/qvmbaTvmsQQ,2022-04-02T18:25:15Z,qvmbaTvmsQQ
Hate War 100%!,https://youtu.be/QOVSGIJUpsY,2022-04-01T11:24:50Z,QOVSGIJUpsY
VeritY by Serponge + 3 coins [Medium Demon],https://youtu.be/xETM7u6mWW8,2022-03-28T17:34:46Z,xETM7u6mWW8
"Oh, hey, wanna see me dying to 64% for the FIFTH TIME?!",https://youtu.be/45lTgKgv3G8,2022-03-20T16:51:30Z,45lTgKgv3G8
Chaos Impact by TheRealDarnoc. [Easy Demon],https://youtu.be/ap9XHuXJjd8,2022-03-18T17:50:23Z,ap9XHuXJjd8
Bass Night by Fury0313 + 1 coin [Easy Demon],https://youtu.be/lmhVgek-bOo,2022-03-18T11:47:35Z,lmhVgek-bOo
FREEDOM by MrPPs + 3 coins [Easy Demon],https://youtu.be/6UYvcny7Sjs,2022-03-17T19:01:40Z,6UYvcny7Sjs
Happy Decode Day!,https://youtu.be/9E0MrGYMTtA,2022-03-11T14:33:17Z,9E0MrGYMTtA
"(Mobile) Hate War 72% (Bruh, that's the 2nd time)",https://youtu.be/4X4HNAUXFMs,2022-02-28T15:22:08Z,4X4HNAUXFMs
MasterGame by Setponge [Easy Demon],https://youtu.be/dVlds5TiWlE,2022-02-27T14:09:54Z,dVlds5TiWlE
(Mobile) Hate War 55%,https://youtu.be/pvskLNyzaqA,2022-02-26T08:50:07Z,pvskLNyzaqA
(Mobile) Hate War 27-64%,https://youtu.be/2wArdBADMOk,2022-02-20T18:32:58Z,2wArdBADMOk
iS by Grenate [Easy Demon],https://youtu.be/LlDGVIz2SQo,2022-02-19T18:10:43Z,LlDGVIz2SQo
(Mobile) Deadly ClubStep by IIINePtunEIII [Hard Demon],https://youtu.be/vTjA5bwzWm4,2022-02-15T11:44:41Z,vTjA5bwzWm4
(Verified) Infernal Invasion by lisikGMD [Demon?],https://youtu.be/MP58gQNaGJw,2022-02-14T16:13:46Z,MP58gQNaGJw
Bloudeleuste by MrSpaghetti [Easy Demon],https://youtu.be/3xxkpBTkvro,2022-02-07T10:48:24Z,3xxkpBTkvro
All Map Packs Beaten! || moon adventure by Experience D [Easy Demon],https://youtu.be/HYuC-q85III,2022-01-30T06:15:46Z,HYuC-q85III
(Mobile) Retention 64-100% [Extreme Demon],https://youtu.be/kuzxk6dak38,2022-01-29T09:16:10Z,kuzxk6dak38
What The Hell Is This,https://youtu.be/qaTflCTAVjc,2022-01-25T17:30:38Z,qaTflCTAVjc
Buck Force by Rob Buck + 3 coins [Easy Demon],https://youtu.be/JTu8cN5el6Y,2022-01-25T17:16:43Z,JTu8cN5el6Y
Dimension Machine by PunkySoul [Easy Demon],https://youtu.be/Zkef2c8ZLZU,2022-01-25T07:33:37Z,Zkef2c8ZLZU
ForceDynamix by Minesap [Easy Demon],https://youtu.be/s60IO9qIaxY,2022-01-23T13:06:40Z,s60IO9qIaxY
Steam Chamber by TheRealDarnoc [Easy Demon],https://youtu.be/v92ZNVkEp0w,2022-01-23T05:33:09Z,v92ZNVkEp0w
An 11 Minute Long Demon? || The Long Walk Home by Renn241 + 1 coin [Easy Demon],https://youtu.be/dOTtPfdYi7E,2022-01-21T15:35:46Z,dOTtPfdYi7E
Jawbreaker by ZenthicAlpha [Medium Demon],https://youtu.be/lOfrwoxORtE,2022-01-19T12:43:09Z,lOfrwoxORtE
Hexagon Force v2 by IIINePtunEIII [Medium Demon],https://youtu.be/aJchHhG3YAg,2022-01-18T09:58:24Z,aJchHhG3YAg
Mechanic Downforce by ZenthicAlpha [Easy Demon],https://youtu.be/bHS-xhWavcw,2022-01-18T09:35:08Z,bHS-xhWavcw
12 Clutterfunk by Cody [Easy Demon],https://youtu.be/5d1vj_TmooU,2022-01-16T12:05:24Z,5d1vj_TmooU
Electrodynamix v2 by IIINePtunEIII [Easy Demon],https://youtu.be/ES0qop2quvg,2022-01-15T13:48:22Z,ES0qop2quvg
Crazy Bolt by FunnyGame [Easy Demon],https://youtu.be/x9v7B5vyqR4,2022-01-15T08:16:10Z,x9v7B5vyqR4
Chaotic by MrCheeseTigrr [Easy Demon],https://youtu.be/3WIndxT_QA8,2022-01-15T07:42:00Z,3WIndxT_QA8
DeathFunk by IIINePtunEIII [Easy Demon],https://youtu.be/BtYYCSYK58k,2022-01-14T05:09:18Z,BtYYCSYK58k
time pressure by AeonAir [Easy Demon],https://youtu.be/Jb8vnzjdWZY,2022-01-12T17:12:19Z,Jb8vnzjdWZY
Death Step by FunnyGame [Medium Demon],https://youtu.be/v79-SrlXm5M,2022-01-09T11:57:17Z,v79-SrlXm5M
DarnoCant let go by BEkID1442 [Medium Demon],https://youtu.be/TgV4n4Lfz3I,2022-01-05T08:16:21Z,TgV4n4Lfz3I
Stadium Seating by TheTrueEclipse [Easy Demon],https://youtu.be/C3XDwOCeYVw,2022-01-04T04:34:07Z,C3XDwOCeYVw
Genesis by FunnyGame [Easy Demon],https://youtu.be/cbILj6fAeVI,2022-01-03T03:31:12Z,cbILj6fAeVI
Wild West by DanZmeN + 1 coin [Easy Demon],https://youtu.be/HfnbVx89FJI,2022-01-02T16:31:03Z,HfnbVx89FJI
pg clubstep by pg1004 [Medium Demon],https://youtu.be/1i9D8dodg1I,2022-01-02T11:04:32Z,1i9D8dodg1I
Restricted Area by ZenthicAlpha [Easy Demon],https://youtu.be/I3UkMkRcerU,2022-01-01T22:35:35Z,I3UkMkRcerU
Feelin Funky by Renn241 [Easy Demon],https://youtu.be/2yOeM9iBcoc,2022-01-01T22:04:38Z,2yOeM9iBcoc
